neighbourhood_group,neighbourhood,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,has_review,price
Manhattan,Lower East Side,Entire home/apt,3,69,2.92,1,18,1,115
Manhattan,Gramercy,Private room,2,8,3.53,4,13,1,99
Manhattan,Upper East Side,Entire home/apt,30,0,,2,365,0,200
Manhattan,Upper East Side,Entire home/apt,2,94,2.16,1,281,1,222
Brooklyn,Williamsburg,Entire home/apt,1,9,6.0,1,202,1,259
Brooklyn,Brooklyn Heights,Entire home/apt,7,5,0.14,1,0,1,250
Manhattan,East Village,Entire home/apt,30,96,1.17,1,295,1,105
Brooklyn,Bushwick,Private room,1,0,,1,0,0,55
Brooklyn,Flatbush,Private room,2,5,0.12,2,213,1,55
Brooklyn,Crown Heights,Entire home/apt,1,8,0.17,1,0,1,88
Brooklyn,Williamsburg,Private room,4,1,1.0,1,5,1,65
Manhattan,Gramercy,Private room,1,11,1.79,3,0,1,65
Manhattan,Hell's Kitchen,Entire home/apt,3,0,,1,0,0,220
Brooklyn,Bedford-Stuyvesant,Entire home/apt,31,1,0.51,2,155,1,120
Queens,Jamaica,Private room,5,43,3.61,2,365,1,70
Manhattan,Upper West Side,Entire home/apt,30,17,0.31,1,179,1,225
Brooklyn,Bushwick,Entire home/apt,7,10,0.51,1,11,1,89
Queens,Ridgewood,Private room,7,0,,2,290,0,55
Brooklyn,Bedford-Stuyvesant,Private room,2,100,1.73,3,365,1,80
Brooklyn,Clinton Hill,Entire home/apt,5,5,0.1,1,0,1,140
Brooklyn,Bedford-Stuyvesant,Entire home/apt,4,0,,1,14,0,95
Manhattan,East Village,Entire home/apt,2,149,2.41,1,16,1,140
Queens,Ridgewood,Private room,1,6,0.4,1,11,1,49
Manhattan,Financial District,Entire home/apt,29,0,,96,1,0,225
Manhattan,Midtown,Entire home/apt,1,0,,1,223,0,150
Manhattan,East Harlem,Entire home/apt,1,161,5.78,2,156,1,115
Brooklyn,Bedford-Stuyvesant,Private room,1,27,1.69,7,248,1,62
Brooklyn,Bedford-Stuyvesant,Private room,7,2,0.05,1,0,1,37
Brooklyn,Williamsburg,Entire home/apt,7,6,0.15,2,302,1,90
Brooklyn,Bedford-Stuyvesant,Private room,30,0,,5,145,0,39
Brooklyn,Greenpoint,Entire home/apt,1,0,,2,0,0,200
Brooklyn,Bushwick,Private room,1,5,0.57,1,1,1,35
Brooklyn,Williamsburg,Entire home/apt,1,24,0.29,1,0,1,137
Brooklyn,Park Slope,Entire home/apt,5,5,1.81,1,318,1,135
Brooklyn,Flatbush,Private room,3,74,3.59,1,66,1,65
Brooklyn,Clinton Hill,Entire home/apt,1,16,0.38,2,0,1,130
